ID,Name,Parameter,Language,Frequency,Confidence,References
2-810-179-1,rude,"relatives, kinsmen",Romanian,,,
2-820-179-1,familie,family,Romanian,,,
3-110-179-1,animal,animal,Romanian,,,
3-110-179-3,bestie,animal,Romanian,,,
3-120-179-1,ba_rbatesc,male (adj),Romanian,,,
3-130-179-1,femeiesc,female (adj),Romanian,,,
3-150-179-1,vite,livestock,Romanian,,,
3-150-179-3,(dobitoc),livestock,Romanian,,,
3-160-179-1,paste,pasture,Romanian,,,
3-180-179-1,cioban,herdsman,Romanian,,,
3-180-179-3,(pa_stor),herdsman,Romanian,,,
3-190-179-1,staul,"stable, stall",Romanian,,,
3-190-179-3,grajd,"stable, stall",Romanian,,,
3-200-179-1,vite,cattle (bovine),Romanian,,,
3-210-179-1,taur,bull,Romanian,,,
3-220-179-1,bou,ox,Romanian,,,
3-230-179-1,vaca_,cow,Romanian,,,
3-240-179-1,vit_el,calf,Romanian,,,
3-250-179-1,oaie,sheep,Romanian,,,
3-260-179-1,berbec,ram,Romanian,,,
3-280-179-1,oaie,ewe,Romanian,,,
3-290-179-1,micl,lamb,Romanian,,,
3-320-179-1,vier,boar,Romanian,,,
3-340-179-1,scroafa_,sow (2),Romanian,,,
3-340-179-3,purcea,sow (2),Romanian,,,
3-350-179-1,purcel,pig,Romanian,,,
3-360-179-1,capra_,goat,Romanian,,,
3-370-179-1,t_ap,he-goat,Romanian,,,
3-380-179-1,caprioara_,kid,Romanian,,,
3-410-179-1,cal,horse (equine),Romanian,,,
3-420-179-1,arma_sar,stallion,Romanian,,,
3-440-179-1,iapa_,mare,Romanian,,,
3-450-179-1,mi_nz,"foal, colt",Romanian,,,
3-460-179-1,asin,"ass, donkey",Romanian,,,
3-460-179-3,ma_gar,"ass, donkey",Romanian,,,
3-470-179-1,cati_r,mule,Romanian,,,
3-520-179-1,cocos_,"cock, rooster",Romanian,,,
3-540-179-1,ga_in__,hen,Romanian,,,
3-550-179-1,puiu de ga_in__,chicken,Romanian,,,
3-560-179-1,gi_sc__,goose,Romanian,,,
3-570-179-1,rat___,duck,Romanian,,,
3-581-179-1,pasa_re,bird,Romanian,,,
3-610-179-1,ci_ine,dog,Romanian,,,
3-620-179-1,pisica_,cat,Romanian,,,
3-630-179-1,s_oarece,"mouse, rat",Romanian,,,
3-650-179-1,pes_te,fish,Romanian,,,
3-710-179-1,lup,wolf,Romanian,,,
3-720-179-1,leu,lion,Romanian,,,
3-730-179-1,urs,bear,Romanian,,,
3-740-179-1,vulpe,fox,Romanian,,,
3-750-179-1,cerb,deer,Romanian,,,
3-760-179-1,maimut___,monkey,Romanian,,,
3-770-179-1,elefant,elephant,Romanian,,,
3-780-179-1,ca_mil__,camel,Romanian,,,
3-820-179-1,albina_,bee,Romanian,,,
3-830-179-1,musca_,fly,Romanian,,,
3-840-179-1,vierme,worm,Romanian,,,
3-850-179-1,s_arpe,snake,Romanian,,,
4-110-179-1,corp,body,Romanian,,,
4-120-179-1,piele,"skin, hide",Romanian,,,
4-130-179-1,carne,flesh,Romanian,,,
4-140-179-1,pa_r,hair (head),Romanian,,,
