ID,Name,Parameter,Language,Frequency,Confidence,References
2-444-131-1,bátya,older brother,Hungarian,,,
2-445-131-1,öcz,younger brother,Hungarian,,,
2-450-131-1,n_vér,sister,Hungarian,,,
2-454-131-1,n_vér,older sister,Hungarian,,,
2-455-131-1,húg,younger sister,Hungarian,,,
2-456-131-1,testvér,sibling,Hungarian,,,
2-458-131-1,ikrek,twins,Hungarian,,,
2-460-131-1,nagyapa,grandfather,Hungarian,,,
2-461-131-1,öregember,old man,Hungarian,,,
2-470-131-1,nagyanya,grandmother,Hungarian,,,
2-471-131-1,öregaszszony,old woman,Hungarian,,,
2-480-131-1,(fiú)unoka,grandson,Hungarian,,,
2-490-131-1,(leány)unoka,granddaughter,Hungarian,,,
2-510-131-1,nagybáczi,uncle,Hungarian,,,
2-511-131-1,anyai nagybáczi,mother's brother,Hungarian,,,
2-512-131-1,apai nagybáczi,father's brother,Hungarian,,,
2-520-131-1,nagynéni,aunt,Hungarian,,,
2-521-131-1,nagynéni (anyai),mother's sister,Hungarian,,,
2-522-131-1,nagynéni (apai),father's sister,Hungarian,,,
2-530-131-1,unokaöcz,nephew,Hungarian,,,
2-540-131-1,unokahúg,niece,Hungarian,,,
2-550-131-1,unokatestvér,cousin,Hungarian,,,
2-560-131-1,_sök,ancestors,Hungarian,,,
2-560-131-3,el_dök,ancestors,Hungarian,,,
2-570-131-1,leszármazottak,descendants,Hungarian,,,
2-610-131-1,após,father-in-law (of a man),Hungarian,,,
2-611-131-1,após,father-in-law (of a woman),Hungarian,,,
2-620-131-1,anyós,mother-in-law (of a man),Hungarian,,,
2-621-131-1,anyós,mother-in-law (of a woman),Hungarian,,,
2-630-131-1,v_,son-in-law (of a man),Hungarian,,,
2-631-131-1,v_,son-in-law (of a woman),Hungarian,,,
2-640-131-1,meny,daughter-in-law (of a man),Hungarian,,,
2-641-131-1,meny,daughter-in-law (of a woman),Hungarian,,,
2-710-131-1,mostohápa,stepfather,Hungarian,,,
2-720-131-1,mostohánya,stepmother,Hungarian,,,
2-730-131-1,mostohafiú,stepson,Hungarian,,,
2-740-131-1,mostohal(e)ány,stepdaughter,Hungarian,,,
2-750-131-1,árva,orphan,Hungarian,,,
2-760-131-1,özvegy,widow,Hungarian,,,
2-770-131-1,özvegyember,widower,Hungarian,,,
2-810-131-1,rokon,"relatives, kinsmen",Hungarian,,,
2-820-131-1,czalád,family,Hungarian,,,
2-910-131-1,én,I,Hungarian,,,
2-920-131-1,te,you (singular),Hungarian,,,
2-930-131-1,_,he/she/it,Hungarian,,,
2-930-131-3,az,he/she/it,Hungarian,,,
2-940-131-1,mi,we,Hungarian,,,
2-950-131-1,ti,you (plural),Hungarian,,,
2-960-131-1,_k,they,Hungarian,,,
3-110-131-1,állat,animal,Hungarian,,,
3-120-131-1,hím,male (adj),Hungarian,,,
3-130-131-1,n_stény,female (adj),Hungarian,,,
3-150-131-1,állatállomány,livestock,Hungarian,,,
3-160-131-1,legel_,pasture,Hungarian,,,
3-180-131-1,pásztor,herdsman,Hungarian,,,
3-190-131-1,istálló,"stable, stall",Hungarian,,,
3-200-131-1,marha,cattle (bovine),Hungarian,,,
3-210-131-1,bika,bull,Hungarian,,,
3-220-131-1,ökör,ox,Hungarian,,,
3-230-131-1,tehén,cow,Hungarian,,,
3-240-131-1,boryú,calf,Hungarian,,,
3-250-131-1,yuh,sheep,Hungarian,,,
3-250-131-3,birka,sheep,Hungarian,,,
3-260-131-1,kos,ram,Hungarian,,,
3-260-131-3,ürü,ram,Hungarian,,,
3-260-131-5,yuh,ram,Hungarian,,,
3-280-131-1,n_stényyuh,ewe,Hungarian,,,
3-290-131-1,kisbárány,lamb,Hungarian,,,
3-320-131-1,vaddisznó,boar,Hungarian,,,
3-340-131-1,disznó,sow (2),Hungarian,,,
3-340-131-3,sertés,sow (2),Hungarian,,,
3-350-131-1,malac,pig,Hungarian,,,
3-360-131-1,keczke,goat,Hungarian,,,
3-370-131-1,bakkeczke,he-goat,Hungarian,,,
3-380-131-1,keczkegida,kid,Hungarian,,,
3-410-131-1,ló (mén),horse (equine),Hungarian,,,
3-420-131-1,cz_dör,stallion,Hungarian,,,
3-420-131-3,mén,stallion,Hungarian,,,
3-440-131-1,kanca,mare,Hungarian,,,
3-450-131-1,czikó,"foal, colt",Hungarian,,,
3-460-131-1,szamár,"ass, donkey",Hungarian,,,
3-470-131-1,öszvér,mule,Hungarian,,,
3-500-131-1,háziszárnyas,fowl,Hungarian,,,
3-500-131-3,baromfi,fowl,Hungarian,,,
3-520-131-1,kakas,"cock, rooster",Hungarian,,,
3-540-131-1,tyúk,hen,Hungarian,,,
3-550-131-1,czibe ~ czirke,chicken,Hungarian,,,
3-560-131-1,liba,goose,Hungarian,,,
3-570-131-1,kacza,duck,Hungarian,,,
3-580-131-1,fészek,nest,Hungarian,,,
3-581-131-1,madár,bird,Hungarian,,,
3-582-131-1,sirály,seagull,Hungarian,,,
3-583-131-1,kóczag,heron,Hungarian,,,
3-584-131-1,sas,eagle,Hungarian,,,
3-585-131-1,sólyom,hawk,Hungarian,,,
3-586-131-1,dögev_,vulture,Hungarian,,,
3-591-131-1,denevér,bat,Hungarian,,,
3-592-131-1,papagáy,parrot,Hungarian,,,
3-593-131-1,varyú,crow,Hungarian,,,
3-594-131-1,galamb,dove,Hungarian,,,
3-596-131-1,bagoly,owl,Hungarian,,,
3-610-131-1,kutya,dog,Hungarian,,,
3-610-131-3,eb,dog,Hungarian,,,
3-614-131-1,nyúl,rabbit,Hungarian,,,
3-620-131-1,maczka,cat,Hungarian,,,
3-622-131-1,oposzszum(egér),opossum,Hungarian,,,
3-630-131-1,egér,"mouse, rat",Hungarian,,,
3-630-131-3,patkány,"mouse, rat",Hungarian,,,
3-650-131-1,hal,fish,Hungarian,,,
3-652-131-1,uszony,fin (dorsal),Hungarian,,,
3-653-131-1,pikkely,fishscale,Hungarian,,,
3-654-131-1,kopoltyú,gill,Hungarian,,,
3-655-131-1,kagyuló,shell,Hungarian,,,
3-661-131-1,cápa,shark,Hungarian,,,
3-662-131-1,delfin,"porpoise, dolphin",Hungarian,,,
3-663-131-1,bálna,whale,Hungarian,,,
3-663-131-3,cet,whale,Hungarian,,,
3-664-131-1,ráya,stingray,Hungarian,,,
3-665-131-1,édesvízi angolna,freshwater eel,Hungarian,,,
3-710-131-1,farkas,wolf,Hungarian,,,
3-720-131-1,oroszlán,lion,Hungarian,,,
3-730-131-1,medve,bear,Hungarian,,,
3-740-131-1,róka,fox,Hungarian,,,
3-750-131-1,szarvas,deer,Hungarian,,,
3-760-131-1,mayom,monkey,Hungarian,,,
3-770-131-1,elefánt,elephant,Hungarian,,,
3-780-131-1,teve,camel,Hungarian,,,
3-810-131-1,rovar,insect,Hungarian,,,
3-811-131-1,tet_,louse,Hungarian,,,
3-812-131-1,tet_pete,nit (louse egg),Hungarian,,,
3-813-131-1,bolha,flea,Hungarian,,,
3-814-131-1,százlábú,centipede,Hungarian,,,
3-815-131-1,skorpió,scorpion,Hungarian,,,
3-816-131-1,porosz,cockroach,Hungarian,,,
3-817-131-1,hangya,ant,Hungarian,,,
3-818-131-1,pók,spider,Hungarian,,,
3-819-131-1,pókháló,spider web,Hungarian,,,
3-820-131-1,méh,bee,Hungarian,,,
3-821-131-1,méhviasz,beeswax,Hungarian,,,
3-822-131-1,méhkas,beehive,Hungarian,,,
3-822-131-3,kaptár,beehive,Hungarian,,,
3-823-131-1,darázs,wasp,Hungarian,,,
3-830-131-1,légy,fly,Hungarian,,,
3-831-131-1,szúnyog,"sandfly (midge), gnat",Hungarian,,,
3-832-131-1,moszkitó,mosquito,Hungarian,,,
3-840-131-1,kukac,worm,Hungarian,,,
3-840-131-3,féreg,worm,Hungarian,,,
3-850-131-1,kígyó,snake,Hungarian,,,
3-910-131-1,szentyánosbogár,firefly,Hungarian,,,
3-920-131-1,lepke,butterfly,Hungarian,,,
3-920-131-3,pillangó,butterfly,Hungarian,,,
3-930-131-1,szöczke,grasshopper,Hungarian,,,
3-940-131-1,cziga,snail,Hungarian,,,
3-950-131-1,béka,frog,Hungarian,,,
3-960-131-1,gyík,lizard,Hungarian,,,
3-970-131-1,krokodil,"crocodile, alligator",Hungarian,,,
3-970-131-3,alligátor,"crocodile, alligator",Hungarian,,,
3-980-131-1,tekn_sbéka,turtle,Hungarian,,,
4-110-131-1,test,body,Hungarian,,,
4-120-131-1,b_r,"skin, hide",Hungarian,,,
4-130-131-1,hús,flesh,Hungarian,,,
4-140-131-1,hayszál ~ hay,hair (head),Hungarian,,,
4-142-131-1,szakáll,beard,Hungarian,,,
4-144-131-1,sz_r(zet),body hair,Hungarian,,,
4-145-131-1,nemi sz_rzet,pubic hair,Hungarian,,,
4-146-131-1,(hay)korpa,dandruff,Hungarian,,,
4-150-131-1,vér,blood,Hungarian,,,
4-151-131-1,véna,"vein, artery",Hungarian,,,
4-151-131-3,üt_ér,"vein, artery",Hungarian,,,
4-160-131-1,czont,bone,Hungarian,,,
4-162-131-1,borda,rib,Hungarian,,,
4-170-131-1,szarv,horn,Hungarian,,,
4-180-131-1,farok,tail,Hungarian,,,
4-190-131-1,hát,back,Hungarian,,,
4-191-131-1,gerincoszlop,spine,Hungarian,,,
4-191-131-3,hátgerinc,spine,Hungarian,,,
4-200-131-1,fey,head,Hungarian,,,
4-201-131-1,halánték,"side of head, temple",Hungarian,,,
4-202-131-1,koponya,skull,Hungarian,,,
4-203-131-1,agy,brain,Hungarian,,,
4-204-131-1,arc,face,Hungarian,,,
4-205-131-1,homlok,forehead,Hungarian,,,
4-207-131-1,állkapocz,jaw,Hungarian,,,
4-208-131-1,orca,cheek,Hungarian,,,
